,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,WindDir {deg},,,,,,,
ETRN,DNI,DHI,Direct Normal Illuminance {lux},Diffuse Horizontal Illuminance {lux},Dry-Bulb,Dew-Point,Relative Humidity {%},wspd,,,,,,,,,Wind Direction {deg},,,,,,,
999,744,195,999900,999900,11.3,0.2,46,0.7,,,,,,,,,350,,,,,,,
1047,740,156,999900,999900,13.1,0.4,42,1.4,,,,,,,,,340,,,,,,,
1050,684,117,999900,999900,15,0.6,37,2.1,,,,,,,,,330,,,,,,,
1007,600,74,999900,999900,15.4,0.2,35,2.4,,,,,,,,,300,,,,,,,
922,349,76,999900,999900,15.7,-0.1,34,2.8,,,,,,,,,270,,,,,,,
796,57,41,999900,999900,16.1,-0.6,32,3.1,,,,,,,,,240,,,,,,,
635,0,0,999900,999900,14.1,0.2,39,2.8,,,,,,,,,260,,,,,,,
0,0,0,999900,999900,12,0.9,47,2.4,,,,,,,,,280,,,,,,,
0,0,0,999900,999900,10,1.7,56,2.1,,,,,,,,,300,,,,,,,
0,0,0,999900,999900,8.9,1.7,61,1.4,,,,,,,,,320,,,,,,,
0,0,0,999900,999900,7.8,1.7,65,0.7,,,,,,,,,340,,,,,,,
0,0,0,999900,999900,6.7,1.7,70,0,,,,,,,,,0,,,,,,,
0,0,0,999900,999900,5.6,1.3,74,0.9,,,,,,,,,20,,,,,,,
0,0,0,999900,999900,4.4,1,79,1.7,,,,,,,,,40,,,,,,,
0,0,0,999900,999900,3.3,0.6,82,2.6,,,,,,,,,60,,,,,,,
0,0,0,999900,999900,2.6,0.2,84,2.4,,,,,,,,,80,,,,,,,
0,0,0,999900,999900,1.8,-0.1,87,2.3,,,,,,,,,100,,,,,,,
0,0,0,999900,999900,1.1,-0.6,88,2.1,,,,,,,,,120,,,,,,,
0,0,0,999900,999900,1.1,-0.7,87,1.4,,,,,,,,,80,,,,,,,
0,0,0,999900,999900,1.1,-0.8,86,0.7,,,,,,,,,40,,,,,,,
0,0,48,999900,999900,1.1,-1.1,84,0,,,,,,,,,0,,,,,,,
612,445,168,999900,999900,6.3,-1.2,58,2.4,,,,,,,,,27,,,,,,,
778,585,177,999900,999900,11.5,-1.4,40,4.8,,,,,,,,,53,,,,,,,
909,554,171,999900,999900,16.7,-1.7,28,7.2,,,,,,,,,80,,,,,,,
1000,609,136,999900,999900,17.2,-1.2,28,6.7,,,,,,,,,77,,,,,,,
1048,620,99,999900,999900,17.8,-0.9,28,6.2,,,,,,,,,73,,,,,,,
1051,572,73,999900,999900,18.3,-0.6,28,5.7,,,,,,,,,70,,,,,,,
1009,427,79,999900,999900,17.8,0.2,30,5,,,,,,,,,80,,,,,,,
924,189,93,999900,999900,17.2,0.9,33,4.3,,,,,,,,,90,,,,,,,
798,95,18,999900,999900,16.7,1.7,36,3.6,,,,,,,,,100,,,,,,,
637,0,0,999900,999900,15.2,2.1,41,3.6,,,,,,,,,110,,,,,,,
0,0,0,999900,999900,13.7,2.4,46,3.6,,,,,,,,,120,,,,,,,
0,0,0,999900,999900,12.2,2.8,53,3.6,,,,,,,,,130,,,,,,,
0,0,0,999900,999900,11.7,2.8,54,3.4,,,,,,,,,123,,,,,,,
0,0,0,999900,999900,11.1,2.8,57,3.3,,,,,,,,,117,,,,,,,
0,0,0,999900,999900,10.6,2.8,58,3.1,,,,,,,,,110,,,,,,,
0,0,0,999900,999900,9.8,2.8,62,2.9,,,,,,,,,110,,,,,,,
0,0,0,999900,999900,9.1,2.8,65,2.8,,,,,,,,,110,,,,,,,
0,0,0,999900,999900,8.3,2.8,68,2.6,,,,,,,,,110,,,,,,,
0,0,0,999900,999900,8.3,2.8,68,2.6,,,,,,,,,117,,,,,,,
0,0,0,999900,999900,8.3,2.8,68,2.6,,,,,,,,,123,,,,,,,
0,0,0,999900,999900,8.3,2.8,68,2.6,,,,,,,,,130,,,,,,,
0,0,0,999900,999900,7.6,2.6,71,2.2,,,,,,,,,113,,,,,,,
0,0,0,999900,999900,6.8,2.4,73,1.9,,,,,,,,,97,,,,,,,
0,0,49,999900,999900,6.1,2.2,76,1.5,,,,,,,,,80,,,,,,,
612,546,179,999900,999900,8.5,2,64,2.9,,,,,,,,,77,,,,,,,
778,812,181,999900,999900,10.9,1.9,54,4.3,,,,,,,,,73,,,,,,,
909,882,160,999900,999900,13.3,1.7,45,5.7,,,,,,,,,70,,,,,,,
1001,920,115,999900,999900,14.1,1.7,43,5,,,,,,,,,100,,,,,,,
1049,928,64,999900,999900,14.8,1.7,41,4.3,,,,,,,,,130,,,,,,,
1053,888,16,999900,999900,15.6,1.7,39,3.6,,,,,,,,,160,,,,,,,
1011,807,0,999900,999900,15.8,2.1,40,2.9,,,,,,,,,163,,,,,,,
926,525,0,999900,999900,15.9,2.4,40,2.2,,,,,,,,,167,,,,,,,
801,176,7,999900,999900,16.1,2.8,41,1.5,,,,,,,,,170,,,,,,,
640,0,0,999900,999900,14.4,3.2,47,1,,,,,,,,,113,,,,,,,
0,0,0,999900,999900,12.8,3.5,53,0.5,,,,,,,,,57,,,,,,,
0,0,0,999900,999900,11.1,3.9,61,0,,,,,,,,,0,,,,,,,
0,0,0,999900,999900,10.2,4.3,67,0.7,,,,,,,,,30,,,,,,,
0,0,0,999900,999900,9.2,4.6,73,1.4,,,,,,,,,60,,,,,,,
0,0,0,999900,999900,8.3,5,80,2.1,,,,,,,,,90,,,,,,,
0,0,0,999900,999900,8.3,4.8,79,2.3,,,,,,,,,93,,,,,,,
0,0,0,999900,999900,8.3,4.6,77,2.4,,,,,,,,,97,,,,,,,
0,0,0,999900,999900,8.3,4.4,76,2.6,,,,,,,,,100,,,,,,,
0,0,0,999900,999900,7.6,4,78,2.4,,,,,,,,,103,,,,,,,
0,0,0,999900,999900,6.8,3.7,81,2.3,,,,,,,,,107,,,,,,,
0,0,0,999900,999900,6.1,3.3,82,2.1,,,,,,,,,110,,,,,,,
0,0,0,999900,999900,6.3,3.3,81,1.4,,,,,,,,,73,,,,,,,
0,0,0,999900,999900,6.5,3.3,80,0.7,,,,,,,,,37,,,,,,,
0,0,34,999900,999900,6.7,3.3,79,0,,,,,,,,,0,,,,,,,
613,214,157,999900,999900,8.9,3.1,67,1.7,,,,,,,,,37,,,,,,,
779,703,164,999900,999900,11.1,3,57,3.4,,,,,,,,,73,,,,,,,
910,839,167,999900,999900,13.3,2.8,49,5.1,,,,,,,,,110,,,,,,,
1002,847,112,999900,999900,14.2,3.2,47,4.4,,,,,,,,,130,,,,,,,
1051,814,58,999900,999900,15.2,3.5,45,3.8,,,,,,,,,150,,,,,,,
1055,651,63,999900,999900,16.1,3.9,44,3.1,,,,,,,,,170,,,,,,,
1013,585,24,999900,999900,16.3,4.1,44,2.8,,,,,,,,,157,,,,,,,
928,309,59,999900,999900,16.5,4.2,44,2.4,,,,,,,,,143,,,,,,,
803,140,11,999900,999900,16.7,4.4,44,2.1,,,,,,,,,130,,,,,,,
642,0,0,999900,999900,15,4.6,50,1.9,,,,,,,,,120,,,,,,,
0,0,0,999900,999900,13.4,4.8,56,1.7,,,,,,,,,110,,,,,,,
0,0,0,999900,999900,11.7,5,63,1.5,,,,,,,,,100,,,,,,,
0,0,0,999900,999900,11.1,4.8,65,1.7,,,,,,,,,97,,,,,,,
0,0,0,999900,999900,10.6,4.6,66,1.9,,,,,,,,,93,,,,,,,
0,0,0,999900,999900,10,4.4,68,2.1,,,,,,,,,90,,,,,,,
0,0,0,999900,999900,9.8,4.2,68,2.6,,,,,,,,,100,,,,,,,
0,0,0,999900,999900,9.6,4.1,69,3.1,,,,,,,,,110,,,,,,,
0,0,0,999900,999900,9.4,3.9,68,3.6,,,,,,,,,120,,,,,,,
0,0,0,999900,999900,8.9,3.9,71,3.3,,,,,,,,,123,,,,,,,
0,0,0,999900,999900,8.3,3.9,74,2.9,,,,,,,,,127,,,,,,,
0,0,0,999900,999900,7.8,3.9,76,2.6,,,,,,,,,130,,,,,,,
0,0,0,999900,999900,8.3,3.7,73,3.1,,,,,,,,,120,,,,,,,
0,0,0,999900,999900,8.9,3.5,69,3.6,,,,,,,,,110,,,,,,,
0,0,40,999900,999900,9.4,3.3,66,4.1,,,,,,,,,100,,,,,,,
613,281,126,999900,999900,10.5,3.3,61,4.3,,,,,,,,,100,,,,,,,
779,289,140,999900,999900,11.7,3.3,56,4.4,,,,,,,,,100,,,,,,,
911,198,146,999900,999900,12.8,3.3,52,4.6,,,,,,,,,100,,,,,,,
1003,11,204,999900,999900,13.2,3.7,52,4.6,,,,,,,,,110,,,,,,,
1052,6,164,999900,999900,13.5,4,53,4.6,,,,,,,,,120,,,,,,,
1056,6,105,999900,999900,13.9,4.4,53,4.6,,,,,,,,,130,,,,,,,
